CAR	2	4856	PC7C042B7	PTE VC965
CAR	2	4154	PC2C2EF9E	PTP VC965
CAR	2	4070	PCEECA8B2	PTE VC965
CAR	2	4095	PC3E1512A	PTP VC965
CAR	2	4135	PCC943ECD	PTE VC965
CAR	2	4680	PCC422F4D	PTE VC965
CAR	2	4702	PCDBC3AC9	PTE VC965
VAN	2	4592	PC627AA14	PTE VCD2F
CAR	2	4100	PCC6DD8D5	PTP VC965
CAR	2	4143	PC5F47DCF	PTC VC965
CAR	2	4466	PC6E93A05	PTE VC965
VAN	2	4352	PC99B9343	PTC VCD2F
VAN	2	4574	PCC1F6F13	PTP VCD2F
CAR	2	4902	PC425C6EC	PTE VC965
VAN	2	4012	PCEF5C190	PTC VCD2F
CAR	2	4458	PCECEBBFA	PTE VC965
CAR	2	4886	PC4D892D7	PTC VC965
TRUCK	4	4680	PCC422F4D	PTP VCB43
VAN	2	4899	PC4967767	PTP VCD2F
CAR	2	4855	PC03C5C15	PTP VC965
CAR	2	4737	PCED7EAFE	PTC VC965
CAR	2	4140	PC5D4821F	PTP VC965
CAR	2	4961	PC92C5115	PTP VC965
CAR	2	4148	PCDFBBEBB	PTP VC965
CAR	2	4630	PCA26D872	PTE VC965
CAR	2	5003	PCAC9371E	PTP VC965
CAR	2	4243	PCC4F7DCE	PTE VC965
CAR	2	4023	PC77793DF	PTP VC965
CAR	2	4987	PCF4A9637	PTE VC965
CAR	2	4755	PC628DCED	PTE VC965
TRUCK	4	4079	PCF1366ED	PTE VCB43
CAR	2	4616	PCE6675F9	PTE VC965
TRUCK	4	4245	PC6594AD4	PTP VCB43
TRUCK	4	4090	PC1EE951B	PTE VCB43
TRUCK	4	4383	PC4BFE950	PTE VCB43
VAN	2	4449	PCAACD453	PTC VCD2F
CAR	2	4351	PC4E572D8	PTP VC965
CAR	2	4159	PC5631507	PTE VC965
CAR	2	4018	PCCB2657A	PTC VC965
CAR	2	4827	PC7D68CD9	PTE VC965
VAN	2	4115	PCF5D4B0A	PTC VCD2F
CAR	2	4102	PC8C9B099	PTE VC965
CAR	2	4398	PCE60D320	PTP VC965
CAR	2	4918	PC8F8E598	PTE VC965
CAR	2	4984	PCBABF130	PTP VC965
TRUCK	4	4460	PCDF04952	PTP VCB43
CAR	2	4326	PC356AE8F	PTC VC965
VAN	2	4600	PCB99E8F9	PTE VCD2F
CAR	2	4735	PC2294422	PTE VC965
CAR	2	4162	PC51A39A7	PTP VC965
CAR	2	4012	PCEF5C190	PTC VC965
CAR	2	4223	PCA37D114	PTC VC965
VAN	2	4990	PCFE28E92	PTP VCD2F
CAR	2	4154	PC2C2EF9E	PTP VC965
CAR	2	4913	PC685427C	PTC VC965
TRUCK	4	4388	PC803F0F2	PTP VCB43
CAR	2	4299	PCAD3B9BC	PTC VC965
CAR	2	4725	PCB905D54	PTC VC965
CAR	2	4229	PCD0DDD3D	PTE VC965
CAR	2	4354	PC0671DD4	PTC VC965
CAR	2	4127	PCA2D76A5	PTC VC965
TRUCK	4	4522	PC0A326BE	PTP VCB43
TRUCK	4	4410	PC6EFC03B	PTP VCB43
VAN	2	4689	PC89C35AD	PTC VCD2F
CAR	2	4296	PCA24C1E1	PTC VC965
CAR	2	4303	PC2E2E0C0	PTC VC965
CAR	2	4346	PCA35B156	PTC VC965
CAR	2	4253	PC82A16E6	PTE VC965
VAN	2	5007	PC869BDE8	PTP VCD2F
CAR	2	4534	PCAD9E1F9	PTP VC965
CAR	2	4742	PC05B8749	PTP VC965
CAR	2	4944	PC41EEC34	PTC VC965
CAR	2	4171	PC36C9AE8	PTC VC965
CAR	2	4750	PCD987A9D	PTP VC965
CAR	2	4878	PC08F56A1	PTE VC965
CAR	2	4274	PC88EA64E	PTP VC965
CAR	2	4377	PC4AC8EAD	PTE VC965
CAR	2	4265	PC5B2AFFA	PTE VC965
CAR	2	4304	PC89FB76E	PTC VC965
CAR	2	4797	PCE2D63A7	PTE VC965
TRUCK	4	4061	PC3A63A79	PTP VCB43
TRUCK	4	4085	PC6150735	PTC VCB43
CAR	2	4675	PCE49911B	PTC VC965
TRUCK	4	4997	PC8111910	PTC VCB43
CAR	2	4241	PC7241796	PTC VC965
CAR	2	4890	PCAFC8A56	PTP VC965
CAR	2	4537	PC10C700F	PTP VC965
CAR	2	4743	PCE6EEF2E	PTE VC965
CAR	2	4026	PC2CE9851	PTC VC965
CAR	2	4373	PC8806694	PTE VC965
TRUCK	4	4116	PCCA836C9	PTC VCB43
TRUCK	4	4785	PC787D664	PTP VCB43
VAN	2	5002	PC585BD38	PTP VCD2F
CAR	2	4728	PC07BF95F	PTC VC965
TRUCK	4	4015	PC524833E	PTE VCB43
CAR	2	4817	PCFF02057	PTP VC965
TRUCK	4	4857	PC59F4E22	PTC VCB43
CAR	2	4724	PC3DE08BF	PTC VC965
TRUCK	4	4725	PCB905D54	PTP VCB43
CAR	2	4591	PCC9875AC	PTC VC965
TRUCK	4	4792	PC3E35002	PTP VCB43
CAR	2	4927	PC2D22627	PTE VC965
CAR	2	4397	PCB070250	PTE VC965
TRUCK	4	4195	PC308070B	PTP VCB43
TRUCK	4	4336	PCD30AB50	PTE VCB43
TRUCK	4	4520	PC8140983	PTP VCB43
CAR	2	4328	PC3777B8E	PTE VC965
CAR	2	4749	PC65C93B7	PTC VC965
CAR	2	4990	PCFE28E92	PTP VC965
CAR	2	4231	PC016D687	PTP VC965
CAR	2	4643	PC6713209	PTC VC965
CAR	2	4121	PCEC57A8E	PTP VC965
VAN	2	4400	PC3BD7D63	PTP VCD2F
CAR	2	4119	PC9EBEDB5	PTE VC965
TRUCK	4	4695	PC4A5D62F	PTE VCB43
CAR	2	4495	PC210A754	PTC VC965
TRUCK	4	4434	PCA491459	PTE VCB43
CAR	2	4299	PCAD3B9BC	PTC VC965
VAN	2	4023	PC77793DF	PTE VCD2F
TRUCK	4	4365	PC0F226DF	PTC VCB43
VAN	2	4582	PC98750ED	PTC VCD2F
CAR	2	4119	PC9EBEDB5	PTE VC965
VAN	2	4416	PC546F252	PTE VCD2F
CAR	2	4898	PC0AE9E1B	PTP VC965
TRUCK	4	4698	PC8BCEB19	PTE VCB43
CAR	2	4416	PC546F252	PTP VC965
CAR	2	4993	PC0F0AB4E	PTE VC965
TRUCK	4	4356	PCF1979AE	PTE VCB43
VAN	2	4504	PC461DCD3	PTP VCD2F
CAR	2	4811	PCBF83C7A	PTC VC965
CAR	2	4574	PCC1F6F13	PTC VC965
CAR	2	4116	PCCA836C9	PTE VC965
